Per Capita Crime,Durham,North Yorkshire,South Yorkshire,GreaterManchester,Cheshire,Lancashire,Derbyshire,Leicestershire,Lincolnshire,Warwickshire,West Midlands,Essex,Hertfordshire,Suffolk,Metropolitan and City,Thames Valley,Hampshire,Kent,Gloucestershire,Dorset,,,,,
Dec-14,0,0.804063738,1.83455312,1.478542089,1.062198822,0.874860979,0.220058154,1.34313283,0.451335841,0,3.496497581,1.004451547,0.273883684,0.226209542,2.197994673,1.140796424,1.23563777,0.906366865,0.264214754,2.118724867,,,,,
Jan-15,0.402746733,0.402031869,1.37591484,0.966739058,1.416265097,3.608801539,0.513469026,0.984964076,1.128339603,1.462180696,2.763360991,0.639196439,1.506360264,0.90483817,2.301025674,1.140796424,0.823758514,0.906366865,0,3.389959787,,,,,
Feb-15,0.671244555,0.603047804,1.1465957,2.16094613,1.062198822,2.515225315,0.880232616,0.358168755,0.677003762,1.462180696,2.368595135,0.730510216,0.684709211,0.452419085,2.404056674,0.738162392,0.411879257,0.997003551,2.377932784,0.847489947,,,,,
Mar-15,0.402746733,0.603047804,1.94921269,1.876611113,1.947364508,2.187152448,0.806879898,0.895421887,0.677003762,0.584872279,2.594175625,1.095765324,1.369418422,0.226209542,1.820214339,1.00658508,0.906134365,1.359550297,1.321073769,0.847489947,,,,,
Apr-15,0.268497822,1.407111542,1.03193613,2.729616165,0.177033137,2.843298182,0.293410872,0.805879698,0.225667921,0.584872279,2.763360991,0.456568885,0.684709211,1.357257255,2.026276339,1.140796424,0.411879257,0.815730178,0.792644261,1.27123492,,,,,
May-15,0.268497822,0.402031869,1.26125527,1.364808082,0.531099411,1.312291469,0.146705436,0.358168755,0.451335841,0.584872279,2.594175625,0.730510216,0.547767369,0,1.923245339,0.67105672,0.988510216,0.453183432,0,0,,,,,
Jun-15,0.402746733,0.201015935,0.91727656,1.706010103,0.531099411,1.202933846,0.36676359,0.179084377,0.451335841,0.877308418,3.834868315,1.004451547,1.095534737,2.035885882,1.991932673,0.536845376,2.059396284,1.268913611,0.264214754,0.423744973,,,,,
Jul-15,0.268497822,0.201015935,1.26125527,2.331547141,0.531099411,1.312291469,0.73352718,0,0,0.877308418,2.537780502,2.191530647,2.054127633,0.226209542,2.07779184,0.603951048,0.164751703,0.815730178,1.321073769,0.847489947,,,,,
Aug-15,0,0.603047804,1.1465957,1.194207072,0.708132548,0.984218602,0.660174462,0.179084377,0.677003762,0,1.74824879,0.456568885,0.410825527,0.452419085,0.995966336,0.469739704,0.741382662,0.725093492,0.528429508,0.423744973,,,,,
Sep-15,0.268497822,0,0.68795742,2.217813134,0.885165685,0.765503357,0.513469026,0.179084377,1.128339603,1.169744557,2.98894148,0.639196439,0.821651053,0.452419085,2.094963673,1.140796424,0.247127554,0.725093492,1.056859015,0.423744973,,,,,
Oct-15,0.402746733,0.402031869,1.49057441,1.592276096,0.531099411,1.640364336,0.293410872,0.71633751,0.225667921,2.339489114,2.424990258,0.730510216,0.273883684,0,1.888901672,0.536845376,0.494255108,0.543820119,0.528429508,0.847489947,,,,,
Nov-15,0.311569,0.520966,1.241053,2.030152,0.738376,1.115838,0.558878,0.677163,0.534081,1.116828,2.878837,0.829814,0.938133,0.747703,1.894237,0.872374,0.753445,0.896548,0.721401,0.871704,,,,,
Dec-15,0.536995644,0.804063738,0.80261699,1.706010103,0.708132548,2.515225315,0.513469026,0.537253132,0.677003762,0,2.537780502,0.639196439,0.410825527,1.131047712,1.408090338,0.805268064,1.23563777,0.997003551,0.264214754,0.423744973,,,,,
Pred. Dec,0.32835,0.53353,1.229451,1.873768,0.807924,1.403553,0.571977,0.645183,0.609303,1.054163,2.737849,0.812693,0.917347,0.565928,1.901954,0.828435,0.708334,0.881442,0.721401,0.851526,,,,,
Difference,-0.208645644,-0.270533738,0.42683401,0.167757897,0.099791452,-1.111672315,0.058507974,0.107929868,-0.067700762,1.054163,0.200068498,0.173496561,0.506521473,-0.565119712,0.493863662,0.023166936,-0.52730377,-0.115561551,0.457186246,0.427781027,,0.10386066,0.066526556,1.054163,-1.111672315
NovDiff,0.177320089,-0.082081804,-0.93747883,-0.813198172,0.030243452,-1.290029693,-0.101296462,-0.307801076,0.082745159,0.239519582,0.792217476,0.555872669,0.253423789,0.295283915,-0.733053508,-0.268422424,0.012062338,-0.281728924,-2.184961291,-1.247020867,,-0.091689133,-0.290419229,0.792217476,-2.184961291
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Theft,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-14,22.95656376,34.37372481,46.89576413,28.1491667,36.2917931,41.88396938,14.23042729,13.87903925,28.88549384,16.96129608,31.52487335,29.85960507,20.40433448,25.10925921,23.83450474,22.54750578,26.11314488,32.26666038,23.51511308,40.67951744,,,,,
Feb-14,21.61407466,23.11683247,37.72299853,27.58049667,33.81332918,43.30561847,14.74389632,16.38622053,23.24379582,21.93271044,31.75045384,23.46764068,14.51583527,24.43063058,24.48703441,18.38695412,23.55949349,32.53857044,16.38131473,25.4246984,,,,,
Mar-14,21.61407466,32.36356546,40.93346649,30.13951182,40.00948898,34.33829343,10.92955498,17.28164242,23.69513167,23.68732728,38.01031241,26.29836777,25.60812449,23.52579241,21.58499457,23.48698519,23.39474178,27.28164263,26.42147538,48.73067193,,,,,
Apr-14,19.33184317,27.53918303,40.1308495,30.25324583,36.46882623,29.74527329,14.89060176,14.86400332,31.14217305,22.22514658,31.46847823,25.56785755,28.75778686,25.10925921,21.8597439,19.8632789,26.11314488,27.64418937,17.96660326,52.12063172,,,,,
May-14,20.9428301,26.53410336,40.24550907,29.28650677,34.34442859,32.91664434,15.40407078,0,27.08015048,17.25373222,30.11499529,26.38968154,27.11448475,19.90643973,21.53347906,27.44621984,32.53846128,26.01272902,20.08032129,72.03664547,,,,,
Jun-14,20.54008337,33.56966107,38.06697724,27.18242764,39.47838956,38.27516784,13.20348924,12.35682204,23.69513167,20.17809361,28.02837577,23.46764068,26.01895001,30.08586914,23.28500607,22.54750578,24.30087615,31.90411364,22.45825407,54.23935659,,,,,
Jul-14,22.41956812,28.5442627,49.53293424,29.17277276,37.88509133,45.27405567,13.05678381,14.32675019,34.9785277,26.90412481,35.86729777,23.65026823,20.81516001,26.24030692,24.22945691,22.27908309,27.67828606,30.00074322,26.68569013,47.03569204,,,,,
Aug-14,19.46609208,29.75035831,32.67797745,29.34337377,24.07650664,30.62013427,11.0029077,12.08819547,22.34112414,18.13104063,27.74640016,17.80618651,19.71962527,24.65684012,21.06983956,19.93038458,24.63037955,25.01572547,17.43817375,30.08589311,,,,,
Sep-14,22.1510703,35.78083635,42.76801961,26.10195458,36.82289251,33.57279007,14.23042729,11.37185796,35.65553146,18.71591291,30.00220505,25.01997489,26.2928337,23.9782115,20.70923106,19.8632789,24.2185003,31.90411364,22.72246882,33.89959787,,,,,
Oct-14,20.54008337,32.96661326,39.21357294,27.46676266,42.31091976,33.46343245,15.11065991,13.25224393,24.59780335,27.48899709,34.00625873,21.55005136,28.07307764,25.56167829,22.44358623,20.19880726,27.34878265,30.8164734,22.72246882,40.67951744,,,,,
Nov-14,15.84137149,25.73003962,39.55755165,23.59980642,33.10519663,30.18270378,12.17655119,9.312387625,27.75715424,21.93271044,32.59638067,22.82844424,22.7323458,22.62095424,21.46479173,19.32643353,21.3353455,27.28164263,19.02346227,49.57816188,,,,,
Dec-14,15.57287367,25.32800775,31.76070089,22.12126434,36.2917931,35.75994252,13.27684196,11.28231578,27.3058184,19.59322133,29.04348797,21.55005136,23.82788054,25.10925921,20.4688254,20.40012428,21.08821795,26.46591245,24.30775735,38.56079257,,,,,
Jan-15,18.5263497,25.93105555,39.67221122,25.36268353,31.68893153,26.57390224,11.51637673,17.4607268,32.72184849,18.71591291,31.97603433,25.47654377,21.7737529,22.16853516,20.7779184,21.40670936,26.19552073,23.29362842,27.21411964,52.54437669,,,,,
Feb-15,18.66059862,28.94629457,32.44865831,28.43350172,35.93772682,30.2920614,15.99089253,14.68491895,23.24379582,19.00834905,36.48764411,22.46318913,21.36292738,30.53828823,20.94963673,22.14487175,24.30087615,24.83445209,26.42147538,39.40828252,,,,,
Mar-15,21.07707901,26.13207149,38.75493466,26.89809262,32.75113036,49.10157245,14.74389632,15.58034083,21.66412038,21.34783817,38.51786851,21.27611003,24.92341527,22.16853516,22.0658059,21.5409207,23.64186934,29.36628642,19.55189178,43.64573225,,,,,
Apr-15,15.70712258,29.95137425,34.74184971,26.5000236,26.37793742,23.83996168,8.802326161,13.16270174,28.20849008,16.08398766,32.87835629,14.51889054,21.08904369,22.16853516,21.12135506,18.9237995,17.62843219,21.84344144,15.32445572,47.45943701,,,,,
May-15,16.78111386,29.75035831,31.18740304,22.34873235,37.70805819,32.47921385,9.169089751,11.01368921,23.0181279,20.17809361,30.39697091,16.2538523,26.01895001,17.64434431,19.59306189,18.72248248,20.18208358,21.93407813,24.5719721,36.86581268,,,,,
Jun-15,17.31810951,28.14223083,45.51984929,28.1491667,27.61716938,32.36985623,15.4774235,10.83460483,31.59350889,18.71591291,37.33357094,14.42757676,26.15589185,22.16853516,21.2930734,22.54750578,19.44070092,25.37827221,16.90974424,47.03569204,,,,,
Jul-15,13.15639327,28.34324677,36.34708369,22.91740238,33.10519663,30.72949189,10.34273324,6.536579775,32.27051265,20.76296589,36.54403923,18.81063806,26.2928337,17.64434431,21.58499457,21.00407533,21.74722476,24.74381541,22.19403932,58.05306135,,,,,
Aug-15,18.5263497,24.92597588,27.17431809,20.92705726,26.7320037,25.91775651,11.14961314,12.80453298,27.53148632,18.71591291,30.90452701,16.61910741,14.10500974,21.03748745,15.30010355,18.99090517,18.20506315,22.7498083,15.32445572,40.25577247,,,,,
Sep-15,20.54008337,28.14223083,38.18163681,22.06439733,35.40662741,29.52655805,9.535853342,12.44636423,27.53148632,21.34783817,36.65682948,16.61910741,28.62084501,16.5132966,18.35668989,22.7488228,19.11119751,23.38426511,25.10040161,47.88318199,,,,,
Oct-15,19.60034099,22.7148006,30.84342433,19.10731315,33.10519663,30.62013427,10.70949683,10.65552046,31.14217305,15.79155152,37.2207807,17.07567629,14.24195159,17.41813477,18.13345605,16.23957262,20.67633869,16.40524025,22.72246882,41.95075236,,,,,
Nov-15,18.768158,27.669006,36.383939,20.580169,32.238577,31.012455,11.399624,12.180936,26.760992,20.122391,34.663804,19.589958,24.414285,17.698742,18.537403,21.089116,20.050154,20.601827,21.336259,47.953806,,,,,
Dec-15,14.23038456,20.90565719,31.30206261,18.1405741,30.27266644,21.76216686,9.315795187,10.83460483,19.63310909,22.22514658,39.02542461,18.71932428,4.929906318,16.5132966,16.60516288,11.0053302,16.47517027,15.77078345,18.23081801,44.06947723,,,,,
Pred. Dec,18.593155,27.085701,33.655655,20.679686,32.455654,30.862088,11.356835,12.388801,28.051866,19.600184,34.696131,17.201668,23.062392,17.531778,18.564745,20.055169,20.050154,20.841906,21.695355,42.266039,,,,,
Difference,4.36277044,6.18004381,2.35359239,2.5391119,2.18298756,9.09992114,2.041039813,1.55419617,8.41875691,-2.62496258,-4.32929361,-1.51765628,18.13248568,1.0184814,1.95958212,9.0498388,3.57498373,5.07112255,3.46453699,-1.80343823,,2.446352145,3.536405035,18.13248568,-4.32929361
